monomer,lambda,eta,ontology
2-aminoisobutyric acid ,0.2112425903394987,0.08452850135518492,Amino acids
"2,3-Dihydroxybenzoic acid",0.1370029737135185,0.09350514205620626,Organic acids
3-Dehydroshikimic acid,0.13700297371351847,0.09350514205620626,Organic acids
5-aminovaleric acid,0.14823469517123136,0.16685052341413964,Amino acids
abscisic acid,0.047712960675163014,0.1907082499680289,Organic acids
adenine,0.34557725985318155,0.11186379711471987,Nucleotides
adenosine,0.12017429572635575,0.08636187163655555,Nucleotides
alanine,0.3261665515076253,0.03984419095019021,Amino acids
alpha-ketoglutaric acid ,0.20654581594237378,0.13997930568489306,Organic acids
arginine,0.18388557303736466,0.022191184300654507,Amino acids
asparagine ,0.30043573931588935,0.08636187163655579,Amino acids
betonicine,0.11511542932486032,0.1130970916151769,Amino acids
biotin ,0.06865851858649763,0.22013224440426712,Organic acids
caffeic acid,0.10228177140890762,0.07404462288534996,Organic acids
choline,0.10543564224495369,0.4388824602818081,Amino acids
cis-aconitic acid,0.17704203914613617,0.1637940808281099,Organic acids
cytidine,0.12119386062609895,0.08140122564019643,Nucleotides
rhamnose,0.14433117776819415,0.07026241647979575,Sugars
deoxyguanosine,0.12017429572635575,0.08636187163655555,Nucleotides
maltose,0.07671132855668068,0.07404462288535024,Sugars
sucrose,0.07671132855668068,0.07404462288535024,Sugars
fumaric acid ,0.2655630587192042,0.16379408082811,Organic acids
aminobutyric acid,0.2112425903394987,0.08452850135518492,Amino acids
glycine ,0.6008714786317786,0.08636187163655593,Amino acids
glycine betaine,0.14823469517123136,0.16685052341413964,Amino acids
guanine,0.381167961111708,0.19385549501158655,Nucleotides
guanosine,0.12465936601295927,0.10575003361668939,Nucleotides
fructose,0.15342265711336148,0.07404462288534992,Sugars
glucose,0.15342265711336148,0.07404462288534992,Sugars
histidine,0.18858588946883204,0.060333312957489074,Amino acids
homoserine ,0.24092363394267247,0.04818846677197803,Amino acids
hypoxanthine,0.32087236423776344,0.15922714281010242,Nucleotides
indole-3-acetic acid,0.09105900385957612,0.052557723898301996,Auxins
inosine ,0.11726078433108006,0.10101289316529735,Nucleotides
isoleucine ,0.11303823023880105,0.22904496495569593,Amino acids
jasmonic acid,0.05487060351465157,0.25104729745851273,Organic acids
L-aspartic acid,0.2825241104579225,0.1237456803499704,Amino acids
L-carnitine,0.10238672771634427,0.18972763702060502,Amino acids
L-citrulline,0.1778753281184785,0.03994709442440231,Amino acids
L-glutamate ,0.20312996049664958,0.07811922054616982,Amino acids
L-hydroxyproline,0.19098274839589274,0.05325962390704939,Amino acids
L-pyroglutamic acid,0.20312996049664964,0.07811922054616967,Amino acids
L-tyrosine ,0.10104624513191299,0.05034585115950332,Amino acids
lactic acid,0.30684531422672295,0.07404462288534992,Organic acids
leucine,0.11303823023880105,0.22904496495569593,Amino acids
linoleic acid,0.028765103949172185,0.45599907304893295,Fatty acids
lysine,0.13351117460899262,0.11674512395773295,Amino acids
malic acid,0.2655630587192043,0.16379408082810984,Organic acids
malonic acid ,0.37018527017566916,0.21453880651868074,Organic acids
methionine ,0.08902576114446376,0.6125526738420928,Amino acids
N-acetyl-D-glucosamine ,0.11773547601591178,0.06095903602055583,Sugars
nicotinic acid,0.16640993476321397,0.07737608668831165,Organic acids
ornithine,0.18054813912886428,0.04691069767882717,Amino acids
pantothenic acid ,0.0937592467017589,0.0853206547571358,Organic acids
arabinose,0.18410718853603372,0.07404462288534994,Sugars
D-ribose,0.18410718853603372,0.07404462288534994,Sugars
xylose,0.18410718853603372,0.07404462288534994,Sugars
phenylalanine ,0.09375924670175888,0.08532065475713582,Amino acids
proline ,0.17447099809414643,0.06607557750913164,Amino acids
salicylic acid,0.13150513466859548,0.07404462288535008,Organic acids
serine ,0.36358158187829703,0.08140122564019628,Amino acids
shikimic acid,0.13150513466859548,0.07404462288535014,Organic acids
sinapyl alcohol,0.07223027787267951,0.12184419131879036,Organic acids
stachyhydrine,0.10238672771634424,0.18972763702060533,Organic acids
succinic acid,0.24728632532290287,0.11075572871760904,Organic acids
inositol,0.15342265711336148,0.07404462288534992,Sugars
syringic acid,0.10228177140890761,0.07404462288535008,Organic acids
taurine,0.24118597696304037,0.5263994193279478,Organic acids
thiamine,0.06485855560354388,0.13488070607195962,Organic acids
threonic acid,0.24728632532290284,0.11075572871760912,Organic acids
threonine ,0.24092363394267247,0.04818846677197803,Amino acids
thymidine,0.09845960891816792,0.06489073614235893,Nucleotides
trans-cinnamic acid,0.09198484507588475,0.09667526100014033,Organic acids
trans-ferulic acid,0.08948406438078549,0.062340966048760306,Organic acids
trigonelline,0.13499584856978644,0.059115650274188886,Organic acids
tryptophan,0.08419700030349182,0.04558500546450118,Amino acids
uracil,0.329208614638548,0.14245053830548324,Nucleotides
uridine,0.1182578285065935,0.09591785699019471,Nucleotides
valine ,0.14823469517123136,0.16685052341413964,Amino acids
vanillic acid,0.11506699283502106,0.07404462288535003,Organic acids
vanillin,0.11107262971539406,0.05962413790836689,Organic acids
xanthine,0.3467189469585561,0.26312301960140094,Nucleotides
linoleic acid,0.028765103949172185,0.45599907304893295,Fatty acids
