Vcell,FCR,response
2.5373409150352896e-17,0.046949049299034984,positive
9.035808880156781e-18,0.17394652954990264,negative
7.54618220216719e-18,0.11533045096120287,undefined
3.114275299679337e-17,0.07118872831720913,positive
3.611416793480116e-17,0.06892858746837627,positive
2.7517566978850416e-17,0.07669718703331574,positive
3.7367078633653e-17,0.1189978850090585,positive
1.13620640680465e-17,0.07915356510349902,positive
2.8191271254979403e-18,0.09947191134734079,undefined
3.7384411726024834e-18,0.08690631495256618,undefined
5.827881975291256e-18,0.08048763930213665,positive
1.6056902629174777e-17,0.07306459386223496,positive
8.167054100175671e-18,0.07498694698198449,undefined
7.966994947998696e-18,0.1038689296175056,negative
4.788234489267312e-18,0.09956762302884514,negative
6.977176635928415e-18,0.12442891555621505,negative
4.1547709615013645e-18,0.11897629212703431,undefined
7.907539563706153e-19,0.09069163057151208,undefined
5.417784754863607e-18,0.09432900178519144,undefined
1.931028123587674e-17,0.0814401868653728,positive
1.6085264954990763e-17,0.07817779824726911,positive
3.408544956205021e-17,0.07038553226986943,positive
2.3015892424590775e-18,0.1425449255025314,undefined
4.061529658325765e-17,0.06512253397866119,negative
4.3669975390179214e-17,0.0828144447015986,positive
2.4976764074585267e-17,0.09765538321640088,positive
4.686110672359683e-18,0.07697025533478208,undefined
4.125076727300261e-18,0.08432668581996261,undefined
4.057431135184389e-17,0.08040946108708025,negative
1.791099383524526e-17,0.24925420370544282,positive
6.658107520087811e-17,0.050287598252863,positive
2.4794254717885384e-17,0.06643322767746207,undefined
2.467385839152601e-17,0.06221238763725412,negative
2.3504506863588386e-17,0.0748367498697996,negative
5.05540755566453e-19,0.07281510686803516,positive
3.9445816866757744e-19,0.08303586524671136,positive
2.5868200445257804e-19,0.260280794152552,undefined
6.047377216738703e-17,0.06454344349065988,positive
2.453711301498767e-17,0.06429700169967423,positive
