genomesize,mingentime,rrncopies,zporters,zsugars,zauxins,zfattys,znucleos,zaminos,zorganics,zhydrolase,sav,response
6679185,7.0,3,13.0,3.0,0.0,0.0,0.0,9.0,0.0,31.0,1.6457272122219626,positive
5377210,1.31,20,37.0,11.0,0.0,2.0,2.0,18.0,3.0,13.0,2.321819453741311,negative
5177578,2.78,8,26.0,5.0,0.0,5.0,1.0,14.0,0.0,9.0,2.4655190480984497,undefined
6972827,6.09,3,55.0,6.0,0.0,5.0,1.0,32.0,10.0,6.0,1.5370870279404814,positive
7193102,5.73,3,57.0,9.0,0.0,4.0,1.0,34.0,9.0,8.0,1.463046917347435,positive
6793945,5.32,3,43.0,5.0,0.0,3.0,0.0,28.0,7.0,7.0,1.6018214822176178,positive
7244804,2.43,10,52.0,23.0,0.0,2.0,2.0,22.0,4.0,7.0,1.4465087859075414,positive
5642219,2.9,3,10.0,3.0,0.0,2.0,1.0,3.0,1.0,29.0,2.1511220229006907,positive
4210445,2.52,8,29.0,14.0,0.0,2.0,1.0,11.0,0.0,22.0,3.4233074432381936,undefined
4467545,3.57,5,28.0,15.0,0.0,1.0,1.0,11.0,0.0,18.0,3.1159269976571764,undefined
4904121,6.24,5,55.0,5.0,1.0,2.0,1.0,27.0,19.0,9.0,2.687285910756417,positive
6067264,6.09,3,52.0,23.0,0.0,1.0,0.0,25.0,1.0,10.0,1.916888564603415,positive
5264264,3.33,8,5.0,2.0,0.0,0.0,0.0,2.0,1.0,29.0,2.4013878760559657,undefined
5236918,2.72,9,28.0,9.0,0.0,4.0,1.0,13.0,2.0,15.0,2.421322348681541,negative
4705879,3.6,7,29.0,8.0,0.0,4.0,2.0,14.0,1.0,10.0,2.8691878801728037,negative
5093035,2.24,9,28.0,11.0,0.0,2.0,1.0,12.0,1.0,12.0,2.5307984038325233,negative
4567713,2.25,6,24.0,8.0,0.0,1.0,1.0,13.0,1.0,15.0,3.00816574821437,undefined
3223982,5.26,5,8.0,1.0,0.0,1.0,0.0,5.0,1.0,8.0,5.229622413854196,undefined
4829548,3.88,3,24.0,10.0,0.0,4.0,1.0,8.0,1.0,11.0,2.7534479777486562,undefined
6306952,4.7,4,60.0,27.0,0.0,1.0,1.0,29.0,2.0,10.0,1.8025525095001214,positive
6069513,5.01,4,57.0,26.0,0.0,2.0,1.0,26.0,1.0,11.0,1.9157612512114506,positive
7106298,5.12,3,63.0,32.0,0.0,2.0,1.0,29.0,1.0,11.0,1.4915155391345418,positive
4034872,1.82,6,45.0,18.0,0.0,1.0,2.0,23.0,1.0,12.0,3.6627576561366904,undefined
7372737,4.16,10,23.0,10.0,0.0,2.0,0.0,10.0,0.0,24.0,1.406870904819919,negative
7485871,4.36,8,27.0,7.0,0.0,8.0,1.0,9.0,1.0,7.0,1.373271716118754,positive
6657122,3.83,7,28.0,5.0,0.0,9.0,2.0,11.0,1.0,6.0,1.6543931908633818,positive
4684622,6.28,12,20.0,7.0,0.0,4.0,1.0,7.0,1.0,12.0,2.889880896368693,undefined
4560838,4.82,5,24.0,7.0,0.0,3.0,1.0,12.0,0.0,12.0,3.015366559445841,undefined
7371174,1.43,23,30.0,24.0,0.0,0.0,0.0,5.0,1.0,40.0,1.4073444517810836,negative
6208105,0.96,8,41.0,5.0,0.0,2.0,3.0,26.0,4.0,6.0,1.8483217029468217,positive
8179139,7.05,3,64.0,7.0,0.0,3.0,0.0,36.0,17.0,7.0,1.1931650486240597,positive
6646877,7.49,9,64.0,9.0,0.0,2.0,0.0,48.0,4.0,8.0,1.6584425750775647,undefined
6640086,6.11,3,26.0,12.0,0.0,2.0,0.0,11.0,0.0,17.0,1.6611356616006563,negative
6572728,4.74,3,32.0,16.0,0.0,3.0,0.0,12.0,0.0,13.0,1.6882382789122592,negative
2934896,6.3,3,7.0,4.0,0.0,1.0,0.0,2.0,1.0,16.0,6.070606278803607,positive
2785891,6.78,3,7.0,2.0,0.0,1.0,0.0,3.0,1.0,8.0,6.594023235112028,positive
2549675,0.75,13,29.0,6.0,0.0,1.0,2.0,17.0,2.0,7.0,7.589771806902064,undefined
8015544,4.04,14,19.0,8.0,0.0,2.0,0.0,8.0,0.0,23.0,1.2320502977655905,positive
6632341,8.33,12,63.0,9.0,0.0,3.0,1.0,28.0,21.0,8.0,1.664215784202945,positive
